query	target	query_label	target_label	status	evalue	bits	pident	nident	alnlen	mismatch	gapopen	qstart	qend	qlen	tstart	tend	tlen	qcov	tcov	cigar
A0A9X6NI93	A0A9X6RN34	NI93	RN34	reported	1.679E-13	73	25.200	60	238	165	7	130	355	406	241	477	514	0.557	0.461	12M3D31M1D52M1D16M1I40M3D35M3D27M1D12M
A0A9X6NI93	A0A9X6NI93	NI93	NI93	reported	5.989E-273	830	100.000	406	406	0	0	1	406	406	1	406	406	1.000	1.000	406M
A0A9X6NI93	A0A1W0X5S1	NI93	X5S1	reported	4.943E-02	36	26.000	38	146	92	4	208	347	406	287	422	423	0.345	0.322	35M7I27M6D46M2I11M1I11M
A0A9X6NI93	A0A1W0X6E7	NI93	X6E7	reported	2.141E-02	37	34.300	22	64	42	0	259	322	406	250	313	335	0.158	0.191	64M
A0A1W0X5S1	O76075	X5S1	human DFFB	not reported under this search at E<=10																
A0A1W0X5S1	O54788	X5S1	mouse DFFB	not reported under this search at E<=10																
A0A1W0X5S1	A0A1W0WC24	X5S1	WC24	not reported under this search at E<=10																
A0A1W0X5S1	A0A9X6RM91	X5S1	RM91	reported	8.462E-01	32	38.600	17	44	27	0	202	245	423	97	140	367	0.104	0.120	44M
A0A1W0X5S1	A0A9X6RN34	X5S1	RN34	not reported under this search at E<=10																
A0A1W0X5S1	A0A9X6NI93	X5S1	NI93	reported	1.950E+00	31	26.100	35	134	84	3	287	411	423	208	335	406	0.296	0.315	35M7D28M6I45M2D11M
A0A1W0X5S1	A0A1W0X5S1	X5S1	X5S1	reported	2.203E-274	835	100.000	423	423	0	0	1	423	423	1	423	423	1.000	1.000	423M
A0A1W0X5S1	A0A1W0X6E7	X5S1	X6E7	reported	2.582E-89	300	47.600	171	359	146	4	75	420	423	4	333	335	0.818	0.985	36M1D88M5D92M7D7M29I94M
A0A1W0X6E7	O76075	X6E7	human DFFB	not reported under this search at E<=10																
A0A1W0X6E7	O54788	X6E7	mouse DFFB	not reported under this search at E<=10																
A0A1W0X6E7	A0A1W0WC24	X6E7	WC24	not reported under this search at E<=10																
A0A1W0X6E7	A0A9X6RM91	X6E7	RM91	reported	7.732E+00	28	36.500	15	41	26	0	137	177	335	97	137	367	0.122	0.112	41M
A0A1W0X6E7	A0A9X6RN34	X6E7	RN34	not reported under this search at E<=10																
A0A1W0X6E7	A0A9X6NI93	X6E7	NI93	not reported under this search at E<=10																
A0A1W0X6E7	A0A1W0X5S1	X6E7	X5S1	reported	3.518E-91	301	47.600	171	359	146	4	4	333	335	75	420	423	0.985	0.818	36M1I88M5I92M7I7M29D94M
A0A1W0X6E7	A0A1W0X6E7	X6E7	X6E7	reported	1.337E-217	666	100.000	335	335	0	0	1	335	335	1	335	335	1.000	1.000	335M
